;0 doorsGamehostOpens; 1 doorsGamehostOpens; 2 doorsGamehostOpens; 3 doorsGamehostOpens; 4 doorsGamehostOpens; 5 doorsGamehostOpens; 6 doorsGamehostOpens; 7 doorsGamehostOpens; 
Stay;;;;;;;;;
3 doors; 33.339371;33.328320;;;;;;;
4 doors; 25.003139;25.005720;24.738600;;;;;;
5 doors; 19.996170;19.999350;19.991539;20.012009;;;;;
6 doors; 16.673450;16.668921;16.688250;16.702089;16.697001;;;;
7 doors; 14.267230;14.274080;14.291830;14.270391;14.291889;14.280311;;;
8 doors; 12.501220;12.570030;12.277490;12.686110;12.437020;11.934449;12.272751;;
9 doors; 11.105270;11.126671;11.112010;11.110929;11.096809;11.115300;11.105929;11.092340;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Switch;;;;;;;;;
3 doors; 33.356770;66.659698;;;;;;;
4 doors; 25.003460;37.542240;62.610062;;;;;;
5 doors; 20.000441;26.676241;36.682152;63.308392;;;;;
6 doors; 16.659538;20.850130;26.402500;36.835590;63.208370;;;;
7 doors; 14.285059;17.144791;20.711550;26.432489;36.803780;63.191647;;;
8 doors; 12.501340;14.576360;16.792019;20.803650;26.634991;36.633499;63.541637;;
9 doors; 11.114450;12.684630;14.535480;17.089560;20.739630;26.424311;36.794960;63.215534;
